strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/NC-SLPH-0003/2020	2020-06-12		0.01	North America	North Carolina	Older	USA	20C	B.1	20C	B.1		202024	1.00	MT997205	Homo sapiens	NC SLPH COVID-19 Response Team, Infectious Diseases	Chase et al					
USA/ME-CDC-QDX22441338/2021	2021-02-26		0.13	North America	Maine	Older	USA	20C	B.1.517	20C	B.1.517		202108	2.00	MW749483	Homo sapiens	CDC-OAMD, Respiratory Viruses Branch	Cook et al					
USA/UMW22557719/2020	2020-12-30		0.13	North America	Massachusetts	Older	USA	20C	B.1.517	20C	B.1.517		202053	3.00	MW882780	Homo sapiens	UMass Medical School, Center for Microbiome Research	Ward et al					
USA/LA-BIE-LSUH000790/2020	2020-12-15		0.13	North America	Louisiana	Older	USA	20C	B.1.517	20C	B.1.517		202051	3.00	MZ434716	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Crabtree et al					
USA/965803/2020	2020-04-21		0.01	North America	Iowa	Older	USA	20C	B.1	20C	B.1		202017	1.00	OM836577	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa			
USA/OH-CDC-LC0004517/2020	2020-12-30		0.11	North America	Ohio	Older	USA	20C	B.1.361	20C	B.1.361		202053	2.00	MW638647	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/DC-UW-1089/2020	2020-07-27		0.06	North America	Washington DC	Older	USA	20C	B.1.582	20C	B.1		202031	1.00	MT929039	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
USA/FL-BPHL-2279/2020	2020-09-23		0.02	North America	Florida	Older	USA	20C	B.1.582	20C	B.1		202039	1.00	MW490872	Homo sapiens	FLDOH, BPHL	Schmedes et al		Florida Bureau of Public Health Laboratories			
USA/0-48019-3/2020	2020-12-02		0.04	North America	Tennessee	Older	USA	20C	B.1.582	20C	B.1		202049	2.00	OP158029	Homo sapiens	University Clinical Health, UTMG Pathology LLC	Kumaravelu et al					
USA/GU-CDC-2-4176842/2021	2021-03-09		0.20	North America	Guam	Older	USA	20C	B.1.582	20C	B.1		202110	1.00	MZ780199	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/MI-MDHHS-SC22379/2020	2020-11-16		0.03	North America	Michigan	Older	USA	20C	B.1.582	20C	B.1		202047	1.00	OL826198	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/WY-WYPHL-20011618/2020	2020-05-02		0.01	North America	Wyoming	Older	USA	20C	B.1	20C	B.1		202018	1.00	MW039234	Homo sapiens	Wyoming Public Health Laboratory, Microbiology	Hull et al		Wyoming Public Health Laboratory			
USA/OR-UW-4300/2020	2020-03-31		0.01	North America	Oregon	Older	USA	20C	B.1	20C	B.1		202014	1.00	MT358661	Homo sapiens	University of Washington, Laboratory Medicine	Roychoudhury et al					
USA/DW051_C03_5_3/2020	2020-04-01		0.01	North America	Kentucky	Older	USA	20C	B.1	20C	B.1		202014	1.00	MZ472107	Homo sapiens	University of Louisville, Computer Science and Engineering	Rouchka et al					
USA/MI-MDHHS-SC21304/2020	2020-04-04		0.01	North America	Michigan	Older	USA	20C	B.1	20C	B.1		202014	1.00	OL816489	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/TX_GCID_192000251/2020	2020-04-07		0.01	North America	Texas	Older	USA	20C	B.1	20C	B.1		202015	1.00	MZ353009	Homo sapiens	Baylor College of Medicine Human Genome Sequencing Center, Human Genome Sequencing Center	Doddapaneni et al		Baylor College of Medicine, Houston			
USA/20U172MD00253_2-23-2022/2020	2020-06-20		0.01	North America	Arkansas	Older	USA	20C	B.1	20C	B.1		202025	2.00	OM831484	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences			
USA/OR-QDX-3525/2020	2020-09-15		0.08	North America	Oregon	Older	USA	20C	B.1.453	20C	B.1.453		202038	1.00	MW521777	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/MS-CDC-2-4513294/2021	2021-05-07		0.35	North America	Mississippi	Older	USA	20H (Beta, V2)	B.1.351	20H (Beta, V2)	B.1.351		202118	7.00	MZ451704	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Sheth et al					
USA/NE-CDC-ASC210057742/2021	2021-05-02		0.44	North America	Nebraska	Older	USA	20H (Beta, V2)	B.1.351	20H (Beta, V2)	B.1.351.5		202118	8.00	MZ282969	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al					
USA/VT-CDCBI-CRSP_BLVHE5D7WJAPLJVL/2021	2021-06-21		0.45	North America	Vermont	Older	USA	20C	B.1.637	20C	B.1.637		202125	5.00	MZ574928	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform			
USA/KY-CDC-LC0085490/2021	2021-06-17		0.43	North America	Kentucky	Older	USA	20C	B.1.637	20C	B.1.637		202124	7.00	MZ554894	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al		Laboratory Corporation of America			
PRI/PR-UPRRP-2522/2021	2021-04-07		0.46	North America	Puerto Rico	Older	USA	20C	B.1.637	20C	B.1.637		202114	6.00	OK203740	Homo sapiens	University of Puerto RIco, Biology	Van Belleghem et al					
USA/CA-CZB-25849/2021	2021-02-03		0.25	North America	California	Older	USA	21C (Epsilon)	B.1.427	21C (Epsilon)	B.1.427		202105	3.00	MW921760	Homo sapiens	Chan-Zuckerberg Biohub Covidtracker, Infectious Diseases	Consortium et al		CA DPH Viral and Rickettsial Disease Laboratory			
USA/OR-CDC-ASC210057327/2021	2021-04-09		0.24	North America	Oregon	Older	USA	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202114	3.00	MZ212914	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al					
USA/ND-CDC-STM-000008153/2021	2021-01-08		0.22	North America	North Dakota	Older	USA	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202101	3.00	MW596152	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/NCOV21-13384/2021	2021-03-02		0.21	North America	Nebraska	Older	USA	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202109	3.00	OP764775	Homo sapiens	Nebraska Public Health Laboratory, Department of Pathology and Microbiology	Anzalone et al					
USA/NV-CDC-QDX21954522/2021	2021-02-10		0.27	North America	Nevada	Older	USA	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202106	3.00	MW681482	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/OH-CDC-LC0001447/2020	2020-12-28		0.29	North America	Ohio	Older	USA	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202053	3.00	MW634688	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
Mexico/SEARCH-8876/2021	2021-03-24		0.27	North America	Baja California	Older	Mexico	21C (Epsilon)	B.1.429	21C (Epsilon)	B.1.429		202112	3.00	OK546752	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Aaron Harding, Jacquelyn Berumen, Cathy Woerle, Liam McGinnis, Art Mendoza, Omid Bakhtar with the help of Sharp HealthCare Laboratory			
USA/MS-BIE-CAT00302/2020	2020-04-08		0.04	North America	Mississippi	Older	USA	20C	B.1	20C	B.1		202015	1.00	OL589102	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Feehan et al					
USA/SC_NIDDL_16957/2020	2020-08-11		0.13	North America	South Carolina	Older	USA	20C	B.1	20C	B.1		202033	2.00	MW976902	Homo sapiens	Naval Medical Research Center, Biological Defense Research Directorate, Genomics & Bioinformatics Department	Voegtly et al					
USA/SV101V1/2020	2020-04-13		0.02	North America	Alabama	Older	USA	20C	B.1	20C	B.1		202016	1.00	MT820129	Homo sapiens	University of South Alabama, Microbiology and Immunology	Wood et al					
USA/AR-QDX-3527/2020	2020-09-17		0.01	North America	Arkansas	Older	USA	20C	B.1	20C	B.1		202038	1.00	MW521656	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/WA-S4834/2021	2021-01-20		0.09	North America	Washington	Older	USA	20C	B.1.265	20C	B.1.265		202103	1.00	MW687200	Homo sapiens	Seattle Flu Study, University of Washington Medical Center	Nickerson et al		Altius Institute			
USA/GA-EHC-859C/2020	2020-10-30		0.04	North America	Georgia	Older	USA	20C	B.1.265	20C	B.1.265		202044	1.00	MZ313067	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Piantadosi et al					
USA/ID-UW-6448/2020	2020-04-02		0.02	North America	Idaho	Older	USA	20C	B.1	20C	B.1		202014	1.00	MT461632	Homo sapiens	University of Washington, Laboratory Medicine	Roychoudhury et al					
USA/LSUH000769E2S1/2020	2020-04-07		0.02	North America	Louisiana	Older	USA	20C	B.1	20C	B.1		202015	1.00	MZ436609	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Crabtree et al					
USA/OR-CDC-2-3693487/2020	2020-11-19		0.09	North America	Oregon	Older	USA	20C	B.1	20C	B.1		202047	1.00	MW406621	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Queen et al					
USA/UT-UPHL-201009151/2020	2020-06-02		0.02	North America	Utah	Older	USA	20C	B.1.426	20C	B.1.426		202023	2.00	MW181471	Homo sapiens	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Young et al		Utah Public Health Laboratory			
USA/UT-UPHL-201006094/2020	2020-06-21		0.02	North America	Utah	Older	USA	20C	B.1.426	20C	B.1.426		202026	2.00	MW190175	Homo sapiens	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Young et al		Utah Public Health Laboratory			
USA/AK-PHL21163/2020	2020-08-24		0.02	North America	Alaska	Older	USA	20C	B.1.426	20C	B.1.426		202035	2.00	OP535561	Homo sapiens	University of Alaska Fairbanks, Institute of Arctic Biology	Haan et al		Alaska State Virology Laboratory			
USA/AR-CDC-2-3714000/2020	2020-09-02		0.14	North America	Arkansas	Older	USA	20C	B.1.577	20C	B.1.577		202036	1.00	MW495858	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/NY-UW-597/2020	2020-06-27		0.05	North America	New York	Older	USA	20C	B.1.595	20C	B.1		202026	1.00	MT750175	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
PRI/PR-UPRRP-177/2020	2020-11-11		0.15	North America	Puerto Rico	Older	USA	20C	B.1.588	20C	B.1.588		202046	2.00	OM255404	Homo sapiens	University of Puerto RIco, Biology	Van Belleghem et al					
USA/41048/2020	2020-07-08		0.12	North America	Idaho	Older	USA	20G	B.1.2	20G	B.1.2		202028	1.00	OM315732	Homo sapiens	BVAMC, Research	Beukelman et al					
USA/MT-UMGC-01623/2020	2020-09-09		0.11	North America	Montana	Older	USA	20G	B.1.2	20G	B.1.2		202037	1.00	OQ312870	Homo sapiens	University of Montana, Molecular and Biomedical Sciences	Conner et al					
USA/UT-CDC-2-4044346/2020	2020-11-30		0.15	North America	Utah	Older	USA	20G	B.1.2	20G	B.1.2		202049	3.00	MW550524	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/hCoV_19_USA_ID_IVREF_640511_2020/2020	2020-08-07		0.13	North America	Idaho	Older	USA	20G	B.1.2	20G	B.1.2		202032	1.00	OL675969	Homo sapiens	BVAMC, Research	Beukelman et al					
USA/ND-CDC-2-4044428/2020	2020-11-14		0.13	North America	North Dakota	Older	USA	20G	B.1.2	20G	B.1.2		202046	1.00	MW550491	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/MT-UMGC-05186/2020	2020-11-09		0.12	North America	Montana	Older	USA	20G	B.1.2	20G	B.1.2		202046	1.00	OQ316152	Homo sapiens	University of Montana, Molecular and Biomedical Sciences	Conner et al					
USA/ID-CDC-2-4014176/2021	2021-03-01		0.19	North America	Idaho	Older	USA	20G	B.1.2	20G	B.1.2		202109	1.00	MW792750	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Queen et al					
USA/IL-CDC-STM-000014506/2021	2021-02-13		0.13	North America	Illinois	Older	USA	20G	B.1.2	20G	B.1.2		202106	1.00	MW767310	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/OH-CDC-2-3693484/2020	2020-11-04		0.12	North America	Ohio	Older	USA	20G	B.1.2	20G	B.1.2		202045	2.00	MW406580	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Queen et al					
USA/NMDOH-2020329049/2020	2020-09-04		0.13	North America	New Mexico	Older	USA	20G	B.1.2	20G	B.1.2		202036	1.00	MW268713	Homo sapiens	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Johnson et al		New Mexico Department of Health Scientific Laboratory			
USA/NM-CDC-2-3980191/2021	2021-02-26		0.16	North America	New Mexico	Older	USA	20G	B.1.2	20G	B.1.2		202108	1.00	MW766427	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Queen et al					
USA/ND-CDC-2-3994069/2021	2021-02-22		0.18	North America	North Dakota	Older	USA	20G	B.1.2	20G	B.1.2		202108	1.00	MW792785	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Queen et al					
USA/CO-CDC-LC0005560/2021	2021-01-09		0.15	North America	Colorado	Older	USA	20G	B.1.2	20G	B.1.2		202101	2.00	MW639027	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/MI-MDHHS-SC23598/2021	2021-01-27		0.14	North America	Michigan	Older	USA	20G	B.1.2	20G	B.1.2		202104	2.00	OL849303	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/OK-CDC-STM-A100101/2020	2020-12-31		0.12	North America	Oklahoma	Older	USA	20G	B.1.2	20G	B.1.2		202053	1.00	MW519870	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/MI-MDHHS-SC22966/2020	2020-12-07		0.14	North America	Michigan	Older	USA	20G	B.1.2	20G	B.1.2		202050	2.00	OL826710	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/OK-QDX-3312/2020	2020-07-30		0.13	North America	Oklahoma	Older	USA	20G	B.1.2	20G	B.1.2		202031	1.00	MW522471	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/OR-QDX-3377/2020	2020-10-23		0.13	North America	Oregon	Older	USA	20G	B.1.2	20G	B.1.2		202043	2.00	MW522481	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/NM-UNM-02271/2020	2020-10-30		0.12	North America	New Mexico	Older	USA	20G	B.1.2	20G	B.1.2		202044	1.00	ON134705	Homo sapiens	University of New Mexico Health Sciences Center, Internal Medicine	Domman et al		New Mexico Department of Health Scientific Laboratory			
USA/ND-CDC-2-3829528/2021	2021-01-11		0.12	North America	North Dakota	Older	USA	20G	B.1.2	20G	B.1.2		202102	1.00	MZ779285	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/SC-CDC-ASC210002984/2021	2021-03-07		0.14	North America	South Carolina	Older	USA	20G	B.1.2	20G	B.1.2		202110	1.00	MZ260199	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al					
USA/CO-CDC-LC0012573/2021	2021-02-01		0.17	North America	Colorado	Older	USA	20G	B.1.2	20G	B.1.2		202105	2.00	MW643749	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/NE-003872/2021	2021-03-04		0.17	North America	Nebraska	Older	USA	20G	B.1.2	20G	B.1.2		202109	1.00	OP705683	Homo sapiens	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	Pratt et al		Test Nebraska			
USA/CA-CZB-18374/2020	2020-12-08		0.13	North America	California	Older	USA	20G	B.1.2	20G	B.1.2		202050	2.00	MW700519	Homo sapiens	Chan-Zuckerberg Biohub Covidtracker, Infectious Diseases	Consortium et al		Orange County Public Health Lab			
USA/WV064980/2020	2020-12-28		0.13	North America	West Virginia	Older	USA	20G	B.1.2	20G	B.1.2		202053	1.00	MZ498065	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al					
USA/KY-QDX-4461/2020	2020-08-21		0.13	North America	Kentucky	Older	USA	20G	B.1.2	20G	B.1.2		202034	1.00	MW566513	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/TN-SPHL-10539/2020	2020-11-30		0.13	North America	Tennessee	Older	USA	20G	B.1.2	20G	B.1.2		202049	2.00	OQ145471	Homo sapiens	University Clinical Health, UTMG Pathology LLC	Kumaravelu et al					
USA/DC-CDC-STM-000018453/2021	2021-02-19		0.23	North America	Washington DC	Older	USA	20G	B.1.2	20G	B.1.2		202107	1.00	MW777919	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/GA-QDX-3399/2020	2020-10-24		0.18	North America	Georgia	Older	USA	20G	B.1.2	20G	B.1.2		202043	1.00	MW522409	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/KY-QDX-2892/2020	2020-08-11		0.13	North America	Kentucky	Older	USA	20G	B.1.2	20G	B.1.2		202033	1.00	MW487280	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/NE-CDC-2-3714172/2020	2020-10-30		0.12	North America	Nebraska	Older	USA	20G	B.1.2	20G	B.1.2		202044	2.00	MW495968	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/MP-CDC-2-4084518/2021	2021-03-13		0.12	North America	Northern Mariana Islands	Older	USA	20G	B.1.2	20G	B.1.2		202110	1.00	MW887957	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Sheth et al					
USA/IN-CDC-LC0021680/2021	2021-02-25		0.14	North America	Indiana	Older	USA	20G	B.1.2	20G	B.1.2		202108	2.00	MW779561	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/WI-UW-2304/2020	2020-11-25		0.12	North America	Wisconsin	Older	USA	20G	B.1.2	20G	B.1.2		202048	1.00	MW403588	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
USA/OH-CDC-2-4068581/2020	2020-12-30		0.12	North America	Ohio	Older	USA	20G	B.1.2	20G	B.1.2		202053	1.00	MW708648	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/MI-MDHHS-SC22668/2020	2020-12-07		0.12	North America	Michigan	Older	USA	20G	B.1.2	20G	B.1.2		202050	1.00	OL826413	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/ME-HETL-J16340/2020	2020-10-05		0.13	North America	Maine	Older	USA	20G	B.1.2	20G	B.1.2		202041	1.00	OP345641	Homo sapiens	The Jackson Laboratory, Tewhey Lab	Dewey et al					
USA/WV064562/2021	2021-01-21		0.19	North America	West Virginia	Older	USA	20G	B.1.2	20G	B.1.2		202103	1.00	MZ500491	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al					
USA/KY-CDC-QDX22205342/2021	2021-02-18		0.13	North America	Kentucky	Older	USA	20G	B.1.2	20G	B.1.2		202107	1.00	MW719907	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/MD-MDH-0410/2020	2020-11-04		0.12	North America	Maryland	Older	USA	20G	B.1.2	20G	B.1.2		202045	1.00	MW310422	Homo sapiens	Maryland Department of Health, CSL	Keller et al					
